127.0.0.1 - - [03/May/2024:11:10:01 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [03/May/2024:11:10:02 +0530] "GET /TechCraft/ HTTP/1.1" 200 23785
0:0:0:0:0:0:0:1 - - [03/May/2024:11:10:02 +0530] "GET /TechCraft/sweetalert2.min.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [03/May/2024:11:10:02 +0530] "GET /TechCraft/sweetalert2.min.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [03/May/2024:11:10:03 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [03/May/2024:11:10:25 +0530] "POST /TechCraft/StudentLogin HTTP/1.1" 200 13918
0:0:0:0:0:0:0:1 - - [03/May/2024:11:10:31 +0530] "GET /TechCraft/technicalQuiz.jsp HTTP/1.1" 200 14689
0:0:0:0:0:0:0:1 - - [03/May/2024:11:10:35 +0530] "GET /TechCraft/assessment.jsp HTTP/1.1" 200 12371
0:0:0:0:0:0:0:1 - - [03/May/2024:11:10:40 +0530] "GET /TechCraft/assessmentDashboard.jsp?module=Quiz HTTP/1.1" 200 21903
0:0:0:0:0:0:0:1 - - [03/May/2024:11:10:48 +0530] "GET /TechCraft/videoLecture.jsp HTTP/1.1" 200 20853
0:0:0:0:0:0:0:1 - - [03/May/2024:11:10:48 +0530] "GET /TechCraft/media/bootstrap.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2024:11:10:48 +0530] "GET /TechCraft/media/vue.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2024:11:10:48 +0530] "GET /TechCraft/media/html-css-js.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2024:11:10:48 +0530] "GET /TechCraft/media/jquery.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2024:11:10:48 +0530] "GET /TechCraft/media/react.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2024:11:10:48 +0530] "GET /TechCraft/media/typeScript.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2024:11:10:48 +0530] "GET /TechCraft/media/flutter.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2024:11:10:48 +0530] "GET /TechCraft/media/angular.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2024:11:10:48 +0530] "GET /TechCraft/media/ux.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2024:11:10:48 +0530] "GET /TechCraft/media/reactNative.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2024:11:10:49 +0530] "POST /TechCraft/SetSessionValueServlet2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/May/2024:11:10:52 +0530] "GET /TechCraft/sweetalert2.min.js HTTP/1.1" 404 783
