127.0.0.1 - - [15/May/2024:22:56:45 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [15/May/2024:22:56:46 +0530] "GET /TechCraft/ HTTP/1.1" 200 24358
0:0:0:0:0:0:0:1 - - [15/May/2024:22:56:46 +0530] "GET /TechCraft/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2024:22:56:46 +0530] "GET /TechCraft/sweetalert2.min.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [15/May/2024:22:56:46 +0530] "GET /TechCraft/sweetalert2.min.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [15/May/2024:22:56:46 +0530] "GET /TechCraft/media/phone.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2024:22:56:46 +0530] "GET /TechCraft/media/pin.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2024:22:56:46 +0530] "GET /TechCraft/media/email%20(1).png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2024:22:56:46 +0530] "GET /TechCraft/media/linkedin.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2024:22:56:46 +0530] "GET /TechCraft/media/twitter.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2024:22:56:46 +0530] "GET /TechCraft/media/facebook.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2024:22:56:46 +0530] "GET /TechCraft/media/instagram.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2024:22:56:46 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [15/May/2024:22:57:12 +0530] "POST /TechCraft/StudentLogin HTTP/1.1" 200 13877
0:0:0:0:0:0:0:1 - - [15/May/2024:22:57:15 +0530] "GET /TechCraft/Roadmap.jsp?submitButton=Angular HTTP/1.1" 200 78396
0:0:0:0:0:0:0:1 - - [15/May/2024:22:58:32 +0530] "GET /TechCraft/videoLecture.jsp HTTP/1.1" 200 20812
0:0:0:0:0:0:0:1 - - [15/May/2024:22:58:32 +0530] "GET /TechCraft/media/java.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2024:22:58:32 +0530] "GET /TechCraft/media/hibernate.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2024:22:58:32 +0530] "GET /TechCraft/media/spring-boot.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2024:22:58:32 +0530] "GET /TechCraft/media/flask.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2024:22:58:32 +0530] "GET /TechCraft/media/nodejs.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2024:22:58:32 +0530] "GET /TechCraft/media/django.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2024:22:58:32 +0530] "GET /TechCraft/media/python.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2024:22:58:32 +0530] "GET /TechCraft/media/expressjs.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2024:22:58:32 +0530] "GET /TechCraft/media/dsa.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2024:22:58:32 +0530] "GET /TechCraft/media/cpp.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2024:22:58:32 +0530] "GET /TechCraft/media/kotlin.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2024:22:58:32 +0530] "GET /TechCraft/media/html-css-js.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2024:22:58:32 +0530] "GET /TechCraft/media/react.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2024:22:58:32 +0530] "GET /TechCraft/media/bootstrap.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2024:22:58:32 +0530] "GET /TechCraft/media/jquery.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2024:22:58:32 +0530] "GET /TechCraft/media/angular.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2024:22:58:32 +0530] "GET /TechCraft/media/typeScript.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2024:22:58:32 +0530] "GET /TechCraft/media/vue.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2024:22:58:32 +0530] "GET /TechCraft/media/flutter.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2024:22:58:32 +0530] "GET /TechCraft/media/reactNative.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2024:22:58:32 +0530] "GET /TechCraft/media/mysql.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2024:22:58:32 +0530] "GET /TechCraft/media/Postgresql.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2024:22:58:32 +0530] "GET /TechCraft/media/mongodb.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2024:22:58:32 +0530] "GET /TechCraft/media/sqlite.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2024:22:58:32 +0530] "GET /TechCraft/media/ux.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2024:22:58:32 +0530] "GET /TechCraft/media/oracle.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2024:22:58:32 +0530] "GET /TechCraft/media/mssql.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2024:22:58:32 +0530] "GET /TechCraft/media/devops.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2024:22:58:32 +0530] "GET /TechCraft/media/android.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2024:22:58:32 +0530] "GET /TechCraft/media/aws.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2024:22:58:32 +0530] "GET /TechCraft/media/docker.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2024:22:58:32 +0530] "GET /TechCraft/media/kubernetes.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2024:22:58:32 +0530] "GET /TechCraft/media/prompt.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2024:22:58:34 +0530] "POST /TechCraft/SetSessionValueServlet2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/May/2024:22:58:35 +0530] "GET /TechCraft/Videos.jsp?technology=SpringBoot HTTP/1.1" 200 11606
0:0:0:0:0:0:0:1 - - [15/May/2024:22:58:35 +0530] "GET /TechCraft/sweetalert2.min.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [15/May/2024:22:58:35 +0530] "GET /TechCraft/sweetalert2.min.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [15/May/2024:22:58:42 +0530] "POST /TechCraft/SetSessionValueServlet2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/May/2024:22:58:44 +0530] "GET /TechCraft/sweetalert2.min.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [15/May/2024:22:58:44 +0530] "GET /TechCraft/sweetalert2.min.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [15/May/2024:22:58:44 +0530] "GET /TechCraft/media/youtube.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2024:22:58:44 +0530] "GET /TechCraft/media/accept.png HTTP/1.1" 304 -
