0:0:0:0:0:0:0:1 - - [30/Mar/2024:23:46:40 +0530] "GET /TechCraft/studentHome.jsp HTTP/1.1" 200 3640
0:0:0:0:0:0:0:1 - - [30/Mar/2024:23:46:41 +0530] "GET /TechCraft/videoLecture.jsp HTTP/1.1" 200 3110
0:0:0:0:0:0:0:1 - - [30/Mar/2024:23:46:42 +0530] "GET /TechCraft/technicalQuiz.jsp HTTP/1.1" 200 3099
0:0:0:0:0:0:0:1 - - [30/Mar/2024:23:46:43 +0530] "GET /TechCraft/codeCompiler.jsp HTTP/1.1" 200 36961
0:0:0:0:0:0:0:1 - - [30/Mar/2024:23:47:42 +0530] "GET /TechCraft/technicalQuiz.jsp HTTP/1.1" 200 3099
0:0:0:0:0:0:0:1 - - [30/Mar/2024:23:47:43 +0530] "GET /TechCraft/videoLecture.jsp HTTP/1.1" 200 3110
0:0:0:0:0:0:0:1 - - [30/Mar/2024:23:50:44 +0530] "GET /TechCraft/studentHome.jsp HTTP/1.1" 200 3746
0:0:0:0:0:0:0:1 - - [30/Mar/2024:23:50:57 +0530] "GET /TechCraft/studentHome.jsp HTTP/1.1" 200 3741
0:0:0:0:0:0:0:1 - - [30/Mar/2024:23:51:35 +0530] "GET /TechCraft/studentHome.jsp HTTP/1.1" 200 3741
0:0:0:0:0:0:0:1 - - [30/Mar/2024:23:51:46 +0530] "GET /TechCraft/videoLecture.jsp HTTP/1.1" 200 3110
0:0:0:0:0:0:0:1 - - [30/Mar/2024:23:53:09 +0530] "GET /TechCraft/videoLecture.jsp HTTP/1.1" 200 3211
0:0:0:0:0:0:0:1 - - [30/Mar/2024:23:53:17 +0530] "GET /TechCraft/codeCompiler.jsp HTTP/1.1" 200 37062
0:0:0:0:0:0:0:1 - - [30/Mar/2024:23:53:22 +0530] "GET /TechCraft/technicalQuiz.jsp HTTP/1.1" 200 3200
0:0:0:0:0:0:0:1 - - [30/Mar/2024:23:53:26 +0530] "GET /TechCraft/codeCompiler.jsp HTTP/1.1" 200 37062
0:0:0:0:0:0:0:1 - - [30/Mar/2024:23:53:30 +0530] "GET /TechCraft/technicalQuiz.jsp HTTP/1.1" 200 3200
0:0:0:0:0:0:0:1 - - [30/Mar/2024:23:53:44 +0530] "GET /TechCraft/userLogout? HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [30/Mar/2024:23:55:25 +0530] "GET /TechCraft/technicalQuiz.jsp HTTP/1.1" 200 3203
0:0:0:0:0:0:0:1 - - [30/Mar/2024:23:55:30 +0530] "GET /TechCraft/StudentLogout? HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Mar/2024:23:55:30 +0530] "GET /TechCraft/index.jsp HTTP/1.1" 200 19330
0:0:0:0:0:0:0:1 - - [30/Mar/2024:23:55:31 +0530] "GET /TechCraft/sweetalert2.min.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [30/Mar/2024:23:55:31 +0530] "GET /TechCraft/sweetalert2.min.css HTTP/1.1" 404 784
