127.0.0.1 - - [09/May/2024:19:39:06 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [09/May/2024:19:39:06 +0530] "GET /TechCraft/ HTTP/1.1" 200 24358
0:0:0:0:0:0:0:1 - - [09/May/2024:19:39:06 +0530] "GET /TechCraft/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2024:19:39:06 +0530] "GET /TechCraft/sweetalert2.min.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [09/May/2024:19:39:06 +0530] "GET /TechCraft/sweetalert2.min.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [09/May/2024:19:39:07 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [09/May/2024:19:39:52 +0530] "POST /TechCraft/StudentLogin HTTP/1.1" 200 13869
0:0:0:0:0:0:0:1 - - [09/May/2024:19:39:56 +0530] "GET /TechCraft/assessment.jsp HTTP/1.1" 200 12659
0:0:0:0:0:0:0:1 - - [09/May/2024:19:39:59 +0530] "GET /TechCraft/assessmentDashboard.jsp?module=Quiz HTTP/1.1" 200 21101
0:0:0:0:0:0:0:1 - - [09/May/2024:19:40:22 +0530] "GET /TechCraft/QuizAssessment.jsp?topic=Object+Oriented+Programming&date=2024-05-06&time=15&module=Quiz&topic=Arrays HTTP/1.1" 200 24217
0:0:0:0:0:0:0:1 - - [09/May/2024:19:40:22 +0530] "GET /TechCraft/sweetalert2.min.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [09/May/2024:19:40:22 +0530] "GET /TechCraft/sweetalert2.min.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [09/May/2024:19:40:23 +0530] "GET /TechCraft/media/warning.mp3 HTTP/1.1" 206 49319
0:0:0:0:0:0:0:1 - - [09/May/2024:19:40:39 +0530] "GET /TechCraft/QuizAssessment.jsp?topic=Object+Oriented+Programming&date=2024-05-06&time=15&module=Quiz&topic=Arrays HTTP/1.1" 200 24217
0:0:0:0:0:0:0:1 - - [09/May/2024:19:40:39 +0530] "GET /TechCraft/sweetalert2.min.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [09/May/2024:19:40:39 +0530] "GET /TechCraft/sweetalert2.min.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [09/May/2024:19:40:39 +0530] "GET /TechCraft/media/warning.mp3 HTTP/1.1" 206 49319
0:0:0:0:0:0:0:1 - - [09/May/2024:19:44:23 +0530] "GET /TechCraft/QuizAssessment.jsp?topic=Object+Oriented+Programming&date=2024-05-06&time=15&module=Quiz&topic=Arrays HTTP/1.1" 200 25756
0:0:0:0:0:0:0:1 - - [09/May/2024:19:44:23 +0530] "GET /TechCraft/sweetalert2.min.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [09/May/2024:19:44:23 +0530] "GET /TechCraft/sweetalert2.min.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [09/May/2024:19:44:23 +0530] "GET /TechCraft/media/warning.mp3 HTTP/1.1" 206 49319
0:0:0:0:0:0:0:1 - - [09/May/2024:19:44:51 +0530] "GET /TechCraft/QuizAssessment.jsp?topic=Object+Oriented+Programming&date=2024-05-06&time=15&module=Quiz&topic=Arrays HTTP/1.1" 200 25756
0:0:0:0:0:0:0:1 - - [09/May/2024:19:44:51 +0530] "GET /TechCraft/sweetalert2.min.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [09/May/2024:19:44:51 +0530] "GET /TechCraft/sweetalert2.min.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [09/May/2024:19:45:27 +0530] "GET /TechCraft/QuizAssessment.jsp?topic=Object+Oriented+Programming&date=2024-05-06&time=15&module=Quiz&topic=Arrays HTTP/1.1" 200 25188
0:0:0:0:0:0:0:1 - - [09/May/2024:19:45:27 +0530] "GET /TechCraft/sweetalert2.min.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [09/May/2024:19:45:27 +0530] "GET /TechCraft/sweetalert2.min.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [09/May/2024:19:45:27 +0530] "GET /TechCraft/media/warning.mp3 HTTP/1.1" 206 49319
0:0:0:0:0:0:0:1 - - [09/May/2024:19:50:20 +0530] "GET /TechCraft/QuizAssessment.jsp?topic=Object+Oriented+Programming&date=2024-05-06&time=15&module=Quiz&topic=Arrays HTTP/1.1" 200 23540
0:0:0:0:0:0:0:1 - - [09/May/2024:19:50:21 +0530] "GET /TechCraft/sweetalert2.min.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [09/May/2024:19:50:21 +0530] "GET /TechCraft/sweetalert2.min.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [09/May/2024:19:50:21 +0530] "GET /TechCraft/media/warning.mp3 HTTP/1.1" 206 49319
0:0:0:0:0:0:0:1 - - [09/May/2024:19:54:31 +0530] "GET /TechCraft/QuizAssessment.jsp?topic=Object+Oriented+Programming&date=2024-05-06&time=15&module=Quiz&topic=Arrays HTTP/1.1" 200 23562
0:0:0:0:0:0:0:1 - - [09/May/2024:19:54:31 +0530] "GET /TechCraft/sweetalert2.min.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [09/May/2024:19:54:31 +0530] "GET /TechCraft/sweetalert2.min.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [09/May/2024:19:54:31 +0530] "GET /TechCraft/media/warning.mp3 HTTP/1.1" 206 49319
0:0:0:0:0:0:0:1 - - [09/May/2024:19:55:06 +0530] "GET /TechCraft/QuizAssessment.jsp?topic=Object+Oriented+Programming&date=2024-05-06&time=15&module=Quiz&topic=Arrays HTTP/1.1" 200 23540
0:0:0:0:0:0:0:1 - - [09/May/2024:19:55:06 +0530] "GET /TechCraft/sweetalert2.min.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [09/May/2024:19:55:06 +0530] "GET /TechCraft/sweetalert2.min.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [09/May/2024:19:55:06 +0530] "GET /TechCraft/media/warning.mp3 HTTP/1.1" 206 49319
0:0:0:0:0:0:0:1 - - [09/May/2024:19:55:22 +0530] "GET /TechCraft/QuizAssessment.jsp?topic=Object+Oriented+Programming&date=2024-05-06&time=15&module=Quiz&topic=Arrays HTTP/1.1" 200 23700
0:0:0:0:0:0:0:1 - - [09/May/2024:19:55:22 +0530] "GET /TechCraft/sweetalert2.min.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [09/May/2024:19:55:22 +0530] "GET /TechCraft/sweetalert2.min.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [09/May/2024:19:55:37 +0530] "GET /TechCraft/QuizAssessment.jsp?topic=Object+Oriented+Programming&date=2024-05-06&time=15&module=Quiz&topic=Arrays HTTP/1.1" 200 23720
0:0:0:0:0:0:0:1 - - [09/May/2024:19:55:37 +0530] "GET /TechCraft/sweetalert2.min.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [09/May/2024:19:55:37 +0530] "GET /TechCraft/sweetalert2.min.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [09/May/2024:19:55:37 +0530] "GET /TechCraft/media/warning.mp3 HTTP/1.1" 206 49319
