127.0.0.1 - - [25/May/2024:10:04:58 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [25/May/2024:10:05:04 +0530] "GET /TechCraft/ HTTP/1.1" 200 28664
0:0:0:0:0:0:0:1 - - [25/May/2024:10:05:04 +0530] "GET /TechCraft/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2024:10:05:04 +0530] "GET /TechCraft/sweetalert2.min.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [25/May/2024:10:05:04 +0530] "GET /TechCraft/sweetalert2.min.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [25/May/2024:10:05:05 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [25/May/2024:10:05:14 +0530] "GET /TechCraftTeacher/ HTTP/1.1" 200 12579
0:0:0:0:0:0:0:1 - - [25/May/2024:10:05:14 +0530] "GET /TechCraftTeacher/teacherIndex.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2024:10:05:14 +0530] "GET /TechCraftTeacher/sweetalert2.min.js HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [25/May/2024:10:05:14 +0530] "GET /TechCraftTeacher/sweetalert2.min.css HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [25/May/2024:10:05:14 +0530] "GET /TechCraftTeacher/media/email.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2024:10:05:14 +0530] "GET /TechCraftTeacher/media/team-meeting.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2024:10:05:14 +0530] "GET /TechCraftTeacher/media/play.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2024:10:05:14 +0530] "GET /TechCraftTeacher/media/lock.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2024:10:05:14 +0530] "GET /TechCraftTeacher/media/user.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2024:10:05:14 +0530] "GET /TechCraftTeacher/media/success.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2024:10:05:14 +0530] "GET /TechCraftTeacher/media/code-simple.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2024:10:05:14 +0530] "GET /TechCraftTeacher/media/phone.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2024:10:05:14 +0530] "GET /TechCraftTeacher/media/pin.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2024:10:05:14 +0530] "GET /TechCraftTeacher/media/email%20(1).png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2024:10:05:14 +0530] "GET /TechCraftTeacher/media/techback.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2024:10:05:14 +0530] "GET /TechCraftTeacher/media/linkedin.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2024:10:05:14 +0530] "GET /TechCraftTeacher/media/facebook.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2024:10:05:14 +0530] "GET /TechCraftTeacher/media/twitter.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2024:10:05:14 +0530] "GET /TechCraftTeacher/media/instagram.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2024:10:05:28 +0530] "POST /TechCraft/StudentLogin HTTP/1.1" 200 13877
0:0:0:0:0:0:0:1 - - [25/May/2024:10:05:58 +0530] "GET /TechCraft/sweetalert2.min.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [25/May/2024:10:05:58 +0530] "GET /TechCraft/sweetalert2.min.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [25/May/2024:10:05:58 +0530] "GET /TechCraft/media/student.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2024:10:06:01 +0530] "GET /TechCraft/studentProfile.jsp HTTP/1.1" 200 40663
0:0:0:0:0:0:0:1 - - [25/May/2024:10:06:04 +0530] "GET /TechCraft/ViewCertificate.jsp?type=Video&technology=mySQL&date=2024-05-18 HTTP/1.1" 200 11342
0:0:0:0:0:0:0:1 - - [25/May/2024:10:06:04 +0530] "GET /TechCraft/sweetalert2.min.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [25/May/2024:10:06:04 +0530] "GET /TechCraft/sweetalert2.min.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [25/May/2024:10:06:04 +0530] "GET /TechCraft/media/signature.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2024:10:06:04 +0530] "GET /TechCraft/media/certificate13.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2024:10:06:08 +0530] "GET /TechCraft/sweetalert2.min.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [25/May/2024:10:06:20 +0530] "GET /TechCraft/codingInhancement.jsp HTTP/1.1" 200 11637
0:0:0:0:0:0:0:1 - - [25/May/2024:10:06:26 +0530] "GET /TechCraft/codingQuestions.jsp?submitButton=Arrays HTTP/1.1" 200 17488
0:0:0:0:0:0:0:1 - - [25/May/2024:10:06:26 +0530] "GET /TechCraft/sweetalert2.min.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [25/May/2024:10:06:26 +0530] "GET /TechCraft/sweetalert2.min.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [25/May/2024:10:06:32 +0530] "GET /TechCraft/videoLecture.jsp HTTP/1.1" 200 20812
0:0:0:0:0:0:0:1 - - [25/May/2024:10:06:32 +0530] "GET /TechCraft/media/java.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2024:10:06:32 +0530] "GET /TechCraft/media/spring-boot.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2024:10:06:32 +0530] "GET /TechCraft/media/hibernate.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2024:10:06:32 +0530] "GET /TechCraft/media/python.png HTTP/1.1" 304 -
