127.0.0.1 - - [21/May/2024:12:17:38 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [21/May/2024:12:17:39 +0530] "GET /TechCraft/ HTTP/1.1" 200 24363
0:0:0:0:0:0:0:1 - - [21/May/2024:12:17:39 +0530] "GET /TechCraft/index.css HTTP/1.1" 200 9302
0:0:0:0:0:0:0:1 - - [21/May/2024:12:17:39 +0530] "GET /TechCraft/sweetalert2.min.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [21/May/2024:12:17:39 +0530] "GET /TechCraft/sweetalert2.min.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [21/May/2024:12:17:39 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [21/May/2024:12:17:54 +0530] "POST /TechCraft/StudentLogin HTTP/1.1" 200 13877
0:0:0:0:0:0:0:1 - - [21/May/2024:12:17:56 +0530] "GET /TechCraft/videoLecture.jsp HTTP/1.1" 200 20812
0:0:0:0:0:0:0:1 - - [21/May/2024:12:17:56 +0530] "GET /TechCraft/media/java.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2024:12:17:56 +0530] "GET /TechCraft/media/hibernate.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2024:12:17:56 +0530] "GET /TechCraft/media/spring-boot.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2024:12:17:56 +0530] "GET /TechCraft/media/python.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2024:12:17:56 +0530] "GET /TechCraft/media/django.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2024:12:17:56 +0530] "GET /TechCraft/media/flask.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2024:12:17:56 +0530] "GET /TechCraft/media/nodejs.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2024:12:17:56 +0530] "GET /TechCraft/media/expressjs.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2024:12:17:56 +0530] "GET /TechCraft/media/kotlin.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2024:12:17:56 +0530] "GET /TechCraft/media/cpp.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2024:12:17:56 +0530] "GET /TechCraft/media/dsa.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2024:12:17:56 +0530] "GET /TechCraft/media/html-css-js.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2024:12:17:56 +0530] "GET /TechCraft/media/react.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2024:12:17:56 +0530] "GET /TechCraft/media/bootstrap.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2024:12:17:56 +0530] "GET /TechCraft/media/jquery.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2024:12:17:56 +0530] "GET /TechCraft/media/vue.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2024:12:17:56 +0530] "GET /TechCraft/media/angular.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2024:12:17:56 +0530] "GET /TechCraft/media/reactNative.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2024:12:17:56 +0530] "GET /TechCraft/media/typeScript.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2024:12:17:56 +0530] "GET /TechCraft/media/flutter.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2024:12:17:56 +0530] "GET /TechCraft/media/ux.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2024:12:17:56 +0530] "GET /TechCraft/media/Postgresql.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2024:12:17:56 +0530] "GET /TechCraft/media/mongodb.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2024:12:17:56 +0530] "GET /TechCraft/media/mysql.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2024:12:17:56 +0530] "GET /TechCraft/media/mssql.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2024:12:17:56 +0530] "GET /TechCraft/media/oracle.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2024:12:17:56 +0530] "GET /TechCraft/media/sqlite.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2024:12:17:56 +0530] "GET /TechCraft/media/devops.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2024:12:17:56 +0530] "GET /TechCraft/media/android.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2024:12:17:56 +0530] "GET /TechCraft/media/docker.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2024:12:17:56 +0530] "GET /TechCraft/media/kubernetes.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2024:12:17:56 +0530] "GET /TechCraft/media/aws.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2024:12:17:56 +0530] "GET /TechCraft/media/prompt.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2024:12:17:57 +0530] "GET /TechCraft/studentHome.jsp HTTP/1.1" 200 13877
0:0:0:0:0:0:0:1 - - [21/May/2024:12:18:02 +0530] "GET /TechCraft/sweetalert2.min.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [21/May/2024:12:18:02 +0530] "GET /TechCraft/sweetalert2.min.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [21/May/2024:12:18:04 +0530] "GET /TechCraft/studentProfile.jsp HTTP/1.1" 200 40663
0:0:0:0:0:0:0:1 - - [21/May/2024:12:18:17 +0530] "GET /TechCraft/ViewCertificate.jsp?type=Coding&technology=Design+Pattern&date=2024-05-18 HTTP/1.1" 200 11362
0:0:0:0:0:0:0:1 - - [21/May/2024:12:18:17 +0530] "GET /TechCraft/sweetalert2.min.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [21/May/2024:12:18:17 +0530] "GET /TechCraft/sweetalert2.min.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [21/May/2024:12:18:17 +0530] "GET /TechCraft/media/signature.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2024:12:18:17 +0530] "GET /TechCraft/media/certificate13.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2024:12:18:37 +0530] "GET /TechCraft/sweetalert2.min.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [21/May/2024:12:18:56 +0530] "GET /TechCraft/videoLecture.jsp HTTP/1.1" 200 20812
0:0:0:0:0:0:0:1 - - [21/May/2024:12:18:57 +0530] "GET /TechCraft/codingInhancement.jsp HTTP/1.1" 200 11637
0:0:0:0:0:0:0:1 - - [21/May/2024:12:18:59 +0530] "GET /TechCraft/videoLecture.jsp HTTP/1.1" 200 20812
0:0:0:0:0:0:0:1 - - [21/May/2024:12:19:00 +0530] "GET /TechCraft/studentHome.jsp HTTP/1.1" 200 13877
0:0:0:0:0:0:0:1 - - [21/May/2024:12:19:01 +0530] "GET /TechCraft/videoLecture.jsp HTTP/1.1" 200 20812
0:0:0:0:0:0:0:1 - - [21/May/2024:12:19:03 +0530] "GET /TechCraft/studentHome.jsp HTTP/1.1" 200 13877
0:0:0:0:0:0:0:1 - - [21/May/2024:12:19:04 +0530] "GET /TechCraft/videoLecture.jsp HTTP/1.1" 200 20812
0:0:0:0:0:0:0:1 - - [21/May/2024:12:19:32 +0530] "POST /TechCraft/SetSessionValueServlet2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/May/2024:12:19:32 +0530] "GET /TechCraft/Videos.jsp?technology=postgresql HTTP/1.1" 200 12449
0:0:0:0:0:0:0:1 - - [21/May/2024:12:19:32 +0530] "GET /TechCraft/sweetalert2.min.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [21/May/2024:12:19:32 +0530] "GET /TechCraft/sweetalert2.min.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [21/May/2024:12:19:35 +0530] "GET /TechCraft/codingInhancement.jsp HTTP/1.1" 200 11637
0:0:0:0:0:0:0:1 - - [21/May/2024:12:19:39 +0530] "GET /TechCraft/codingQuestions.jsp?submitButton=Arrays HTTP/1.1" 200 17488
0:0:0:0:0:0:0:1 - - [21/May/2024:12:19:39 +0530] "GET /TechCraft/sweetalert2.min.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [21/May/2024:12:19:39 +0530] "GET /TechCraft/sweetalert2.min.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [21/May/2024:12:19:46 +0530] "GET /TechCraft/sweetalert2.min.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [21/May/2024:12:19:46 +0530] "GET /TechCraft/sweetalert2.min.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [21/May/2024:12:19:47 +0530] "GET /TechCraft/studentProfile.jsp HTTP/1.1" 200 40663
0:0:0:0:0:0:0:1 - - [21/May/2024:12:20:04 +0530] "GET /TechCraft/assessment.jsp HTTP/1.1" 200 13529
0:0:0:0:0:0:0:1 - - [21/May/2024:12:20:11 +0530] "GET /TechCraft/assessmentDashboard.jsp?module=Coding HTTP/1.1" 200 25736
0:0:0:0:0:0:0:1 - - [21/May/2024:12:20:24 +0530] "GET /TechCraft/videoLecture.jsp HTTP/1.1" 200 20812
0:0:0:0:0:0:0:1 - - [21/May/2024:12:20:29 +0530] "GET /TechCraft/studentHome.jsp HTTP/1.1" 200 13877
0:0:0:0:0:0:0:1 - - [21/May/2024:12:20:33 +0530] "GET /TechCraft/Roadmap.jsp?submitButton=SQL HTTP/1.1" 200 11396
0:0:0:0:0:0:0:1 - - [21/May/2024:12:20:40 +0530] "GET /TechCraft/Roadmap.jsp?submitButton=DevOps HTTP/1.1" 200 63802
