127.0.0.1 - - [24/May/2024:14:32:00 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [24/May/2024:14:32:05 +0530] "GET /TechCraft/ HTTP/1.1" 200 28664
0:0:0:0:0:0:0:1 - - [24/May/2024:14:32:05 +0530] "GET /TechCraft/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2024:14:32:05 +0530] "GET /TechCraft/sweetalert2.min.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [24/May/2024:14:32:05 +0530] "GET /TechCraft/sweetalert2.min.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [24/May/2024:14:32:05 +0530] "GET /TechCraft/media/play.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2024:14:32:05 +0530] "GET /TechCraft/media/freelancer.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2024:14:32:05 +0530] "GET /TechCraft/media/organizational-agility.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2024:14:32:05 +0530] "GET /TechCraft/media/website.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2024:14:32:05 +0530] "GET /TechCraft/media/code-simple.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2024:14:32:05 +0530] "GET /TechCraft/media/user.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2024:14:32:05 +0530] "GET /TechCraft/media/easter-egg-hunt.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2024:14:32:05 +0530] "GET /TechCraft/media/task.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2024:14:32:05 +0530] "GET /TechCraft/media/email.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2024:14:32:05 +0530] "GET /TechCraft/media/black-user.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2024:14:32:05 +0530] "GET /TechCraft/media/lock.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2024:14:32:05 +0530] "GET /TechCraft/media/mobile.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2024:14:32:05 +0530] "GET /TechCraft/media/confirm.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2024:14:32:05 +0530] "GET /TechCraft/media/Google.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2024:14:32:05 +0530] "GET /TechCraft/media/Facebook.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2024:14:32:05 +0530] "GET /TechCraft/media/Linkedin.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2024:14:32:05 +0530] "GET /TechCraft/media/success.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2024:14:32:05 +0530] "GET /TechCraft/media/Instagram.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2024:14:32:05 +0530] "GET /TechCraft/media/pin.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2024:14:32:05 +0530] "GET /TechCraft/media/phone.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2024:14:32:05 +0530] "GET /TechCraft/media/email%20(1).png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2024:14:32:05 +0530] "GET /TechCraft/media/twitter.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2024:14:32:05 +0530] "GET /TechCraft/media/facebook.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2024:14:32:05 +0530] "GET /TechCraft/media/linkedin.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2024:14:32:05 +0530] "GET /TechCraft/media/instagram.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2024:14:32:05 +0530] "GET /TechCraft/media/techback.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2024:14:32:05 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [24/May/2024:14:39:46 +0530] "POST /TechCraft/StudentLogin HTTP/1.1" 200 13877
0:0:0:0:0:0:0:1 - - [24/May/2024:14:39:56 +0530] "GET /TechCraft/Roadmap.jsp?submitButton=Angular HTTP/1.1" 200 78396
0:0:0:0:0:0:0:1 - - [24/May/2024:14:40:01 +0530] "GET /TechCraft/Roadmap.jsp?submitButton=DevOps HTTP/1.1" 200 63802
